group,path,status
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (2).jpg,no_face
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (4).jpg,no_face
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (5).jpg,no_face
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\images (7).jpg,no_face
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss5.PNG,no_face
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss6.PNG,no_face
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\ss7.PNG,no_face
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\st1.PNG,no_face
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\stroke-face.jpg,no_face
human_unconventional,C:\Users\maryc\Downloads\881project\unconventionalfaces\v2.PNG,no_face
