iteration,kernel,C,pred_unconventional_count,pred_conventional_count,prop_pred_unconventional
80,linear,1.0,1,6,0.14285714285714285
81,linear,1.0,0,7,0.0
82,linear,1.0,4,3,0.5714285714285714
83,linear,1.0,0,7,0.0
84,linear,1.0,0,7,0.0
85,linear,1.0,1,6,0.14285714285714285
86,linear,1.0,2,5,0.2857142857142857
87,linear,1.0,4,3,0.5714285714285714
88,linear,1.0,0,7,0.0
89,linear,1.0,5,2,0.7142857142857143
90,linear,1.0,2,5,0.2857142857142857
91,linear,1.0,0,7,0.0
92,linear,1.0,2,5,0.2857142857142857
93,linear,1.0,3,4,0.42857142857142855
94,linear,1.0,3,4,0.42857142857142855
95,linear,1.0,4,3,0.5714285714285714
96,linear,1.0,3,4,0.42857142857142855
97,linear,1.0,4,3,0.5714285714285714
98,linear,1.0,2,5,0.2857142857142857
99,linear,1.0,6,1,0.8571428571428571
100,linear,1.0,5,2,0.7142857142857143
101,linear,1.0,1,6,0.14285714285714285
102,linear,1.0,2,5,0.2857142857142857
103,linear,1.0,5,2,0.7142857142857143
104,linear,1.0,4,3,0.5714285714285714
105,linear,1.0,1,6,0.14285714285714285
106,linear,1.0,2,5,0.2857142857142857
107,linear,1.0,0,7,0.0
108,linear,1.0,0,7,0.0
109,linear,1.0,0,7,0.0
110,linear,1.0,2,5,0.2857142857142857
111,linear,1.0,2,5,0.2857142857142857
112,linear,1.0,1,6,0.14285714285714285
113,linear,1.0,5,2,0.7142857142857143
114,linear,1.0,1,6,0.14285714285714285
115,linear,1.0,1,6,0.14285714285714285
116,linear,1.0,3,4,0.42857142857142855
117,linear,1.0,0,7,0.0
118,linear,1.0,1,6,0.14285714285714285
119,linear,1.0,4,3,0.5714285714285714
120,linear,1.0,2,5,0.2857142857142857
121,linear,1.0,2,5,0.2857142857142857
122,linear,1.0,3,4,0.42857142857142855
123,linear,1.0,0,7,0.0
124,linear,1.0,4,3,0.5714285714285714
125,linear,1.0,2,5,0.2857142857142857
126,linear,1.0,0,7,0.0
127,linear,1.0,0,7,0.0
128,linear,1.0,2,5,0.2857142857142857
129,linear,1.0,2,5,0.2857142857142857
130,linear,1.0,0,7,0.0
131,linear,1.0,0,7,0.0
132,linear,1.0,1,6,0.14285714285714285
133,linear,1.0,4,3,0.5714285714285714
134,linear,1.0,1,6,0.14285714285714285
135,linear,1.0,1,6,0.14285714285714285
136,linear,1.0,1,6,0.14285714285714285
137,linear,1.0,5,2,0.7142857142857143
138,linear,1.0,2,5,0.2857142857142857
139,linear,1.0,5,2,0.7142857142857143
140,linear,1.0,2,5,0.2857142857142857
141,linear,1.0,1,6,0.14285714285714285
142,linear,1.0,4,3,0.5714285714285714
143,linear,1.0,0,7,0.0
144,linear,1.0,3,4,0.42857142857142855
145,linear,1.0,4,3,0.5714285714285714
146,linear,1.0,0,7,0.0
147,linear,1.0,1,6,0.14285714285714285
148,linear,1.0,0,7,0.0
149,linear,1.0,2,5,0.2857142857142857
150,linear,1.0,1,6,0.14285714285714285
151,linear,1.0,2,5,0.2857142857142857
