iteration,mean_dist_to_failed,mean_dist_to_unconv,mean_delta_failed_minus_unconv,prop_closer_to_failed,prop_closer_to_unconv
279,26.11262,24.589197,1.5234228,0.0,1.0
280,26.3364,25.562862,0.773537,0.0,1.0
281,24.64131,25.843014,-1.2017034,0.8571428571428571,0.14285714285714285
282,25.952494,24.589987,1.3625063,0.0,1.0
283,25.996723,24.957994,1.0387298,0.0,1.0
284,25.887356,25.60364,0.28371593,0.42857142857142855,0.5714285714285714
285,24.584417,25.34662,-0.7622054,0.8571428571428571,0.14285714285714285
286,25.199787,24.317274,0.88251305,0.42857142857142855,0.5714285714285714
287,24.321283,23.903685,0.41759926,0.2857142857142857,0.7142857142857143
288,25.101624,24.64105,0.46057183,0.14285714285714285,0.8571428571428571
289,26.599173,27.19618,-0.59700286,0.7142857142857143,0.2857142857142857
290,25.023443,25.539886,-0.51644164,0.7142857142857143,0.2857142857142857
291,25.629074,23.93568,1.6933962,0.0,1.0
292,27.199581,24.86565,2.3339322,0.0,1.0
293,25.141817,24.704638,0.43717957,0.0,1.0
294,25.6123,23.744923,1.8673769,0.0,1.0
295,26.197664,25.765875,0.43178993,0.14285714285714285,0.8571428571428571
296,26.210667,25.562927,0.6477405,0.14285714285714285,0.8571428571428571
297,26.121859,24.52339,1.598468,0.0,1.0
298,25.125525,24.77902,0.34650585,0.42857142857142855,0.5714285714285714
299,26.159943,24.523409,1.6365337,0.0,1.0
300,26.328737,26.143269,0.1854695,0.2857142857142857,0.7142857142857143
301,26.657743,26.02067,0.63707435,0.2857142857142857,0.7142857142857143
302,24.1293,24.604645,-0.47534615,0.7142857142857143,0.2857142857142857
303,26.451693,24.551851,1.8998394,0.0,1.0
304,25.626497,24.824,0.80249816,0.0,1.0
305,25.568787,25.296576,0.2722108,0.42857142857142855,0.5714285714285714
306,25.739416,25.5009,0.23851559,0.42857142857142855,0.5714285714285714
307,25.261616,24.49737,0.7642449,0.2857142857142857,0.7142857142857143
308,25.48316,24.116789,1.3663722,0.0,1.0
309,24.786083,24.293015,0.49306843,0.42857142857142855,0.5714285714285714
310,25.93988,23.855183,2.0846965,0.0,1.0
311,25.93454,24.864286,1.0702515,0.14285714285714285,0.8571428571428571
312,24.510235,24.075254,0.43497902,0.2857142857142857,0.7142857142857143
313,26.961807,25.92509,1.036719,0.14285714285714285,0.8571428571428571
314,25.17776,25.537027,-0.35926792,0.7142857142857143,0.2857142857142857
315,25.099676,25.403177,-0.30350167,0.5714285714285714,0.42857142857142855
316,27.347448,24.409742,2.937706,0.0,1.0
317,25.72914,24.074202,1.654938,0.0,1.0
318,26.428234,24.683086,1.7451471,0.0,1.0
319,24.802923,23.419352,1.3835738,0.0,1.0
320,24.281322,23.138742,1.1425817,0.14285714285714285,0.8571428571428571
321,24.143335,24.051073,0.09226064,0.5714285714285714,0.42857142857142855
322,26.446772,25.214987,1.2317827,0.0,1.0
323,24.208103,23.821522,0.3865828,0.2857142857142857,0.7142857142857143
324,25.550238,25.724957,-0.17471668,0.5714285714285714,0.42857142857142855
325,25.391342,25.002796,0.38854653,0.42857142857142855,0.5714285714285714
326,24.929834,24.91626,0.013572966,0.42857142857142855,0.5714285714285714
327,25.688034,24.844183,0.8438533,0.0,1.0
328,24.039743,24.548939,-0.5091964,0.8571428571428571,0.14285714285714285
329,26.021097,25.580898,0.4401997,0.2857142857142857,0.7142857142857143
330,24.560406,24.899662,-0.33925655,0.8571428571428571,0.14285714285714285
331,24.600979,25.172682,-0.5717043,0.8571428571428571,0.14285714285714285
332,24.178728,24.392118,-0.21338654,0.7142857142857143,0.2857142857142857
333,26.64296,25.41118,1.2317785,0.14285714285714285,0.8571428571428571
334,24.664576,25.335552,-0.67097473,0.8571428571428571,0.14285714285714285
335,23.204742,22.969252,0.23549244,0.42857142857142855,0.5714285714285714
336,26.024433,24.062775,1.9616591,0.0,1.0
337,24.496775,24.471325,0.025449207,0.2857142857142857,0.7142857142857143
338,25.531507,24.924633,0.606875,0.14285714285714285,0.8571428571428571
339,25.197605,25.22896,-0.03135654,0.42857142857142855,0.5714285714285714
340,26.240673,25.372492,0.86818016,0.0,1.0
341,24.905142,24.550114,0.35502842,0.2857142857142857,0.7142857142857143
342,25.549662,24.395437,1.1542222,0.14285714285714285,0.8571428571428571
343,25.50967,24.562204,0.94746643,0.14285714285714285,0.8571428571428571
344,26.134247,24.65575,1.4784968,0.0,1.0
345,26.228207,26.487806,-0.2596005,0.5714285714285714,0.42857142857142855
346,25.643707,24.14469,1.4990185,0.14285714285714285,0.8571428571428571
347,26.300276,25.431782,0.86849296,0.0,1.0
348,28.266905,25.239426,3.0274808,0.0,1.0
349,25.11952,23.012455,2.1070638,0.0,1.0
350,25.16475,25.492998,-0.32824627,0.7142857142857143,0.2857142857142857
351,25.182297,25.335127,-0.15283012,0.7142857142857143,0.2857142857142857
352,24.038166,22.730087,1.3080784,0.14285714285714285,0.8571428571428571
353,28.065777,26.43619,1.6295885,0.0,1.0
354,24.995817,25.04504,-0.04922349,0.5714285714285714,0.42857142857142855
355,24.753397,23.863201,0.89019555,0.0,1.0
356,25.863464,24.783285,1.0801779,0.14285714285714285,0.8571428571428571
357,26.489012,25.082699,1.4063143,0.0,1.0
358,24.482708,24.014633,0.46807343,0.2857142857142857,0.7142857142857143
359,24.90005,23.82424,1.0758089,0.14285714285714285,0.8571428571428571
360,26.702509,25.289137,1.4133742,0.0,1.0
361,28.232534,24.913107,3.3194268,0.0,1.0
362,25.704426,24.427006,1.2774206,0.0,1.0
363,25.96435,24.950794,1.0135545,0.0,1.0
364,26.152859,23.803257,2.3496,0.0,1.0
365,24.322117,23.09752,1.2245969,0.0,1.0
366,25.469769,24.11353,1.3562357,0.0,1.0
367,23.548223,22.89156,0.65666527,0.42857142857142855,0.5714285714285714
368,23.865475,24.443747,-0.57827324,0.7142857142857143,0.2857142857142857
369,25.030838,24.103605,0.9272322,0.14285714285714285,0.8571428571428571
370,24.710285,25.37946,-0.66917336,0.5714285714285714,0.42857142857142855
371,25.2461,24.233126,1.012974,0.14285714285714285,0.8571428571428571
372,25.601992,24.718622,0.8833689,0.0,1.0
373,26.189184,26.031271,0.15791702,0.2857142857142857,0.7142857142857143
374,24.919676,24.056051,0.8636262,0.2857142857142857,0.7142857142857143
375,25.129572,24.13511,0.9944583,0.14285714285714285,0.8571428571428571
376,24.88532,24.455301,0.43002293,0.2857142857142857,0.7142857142857143
377,23.27384,22.297012,0.9768287,0.14285714285714285,0.8571428571428571
378,25.61951,25.186556,0.43295616,0.2857142857142857,0.7142857142857143
379,25.778715,24.840742,0.9379727,0.0,1.0
380,25.017757,26.018759,-1.0010052,0.8571428571428571,0.14285714285714285
381,25.890871,26.136847,-0.24597795,0.5714285714285714,0.42857142857142855
382,24.837706,23.706018,1.1316893,0.0,1.0
383,25.73613,24.766432,0.969699,0.14285714285714285,0.8571428571428571
384,25.234241,25.236406,-0.0021632058,0.2857142857142857,0.7142857142857143
385,24.286747,24.345598,-0.058851786,0.42857142857142855,0.5714285714285714
386,26.229475,23.8538,2.3756745,0.0,1.0
387,25.31777,25.255268,0.06250191,0.5714285714285714,0.42857142857142855
388,25.385574,24.876104,0.50947106,0.14285714285714285,0.8571428571428571
389,24.707706,24.612867,0.094839096,0.42857142857142855,0.5714285714285714
390,27.30517,24.144941,3.1602285,0.0,1.0
391,25.707554,24.9065,0.8010551,0.42857142857142855,0.5714285714285714
392,25.23641,24.29576,0.9406523,0.0,1.0
393,24.506632,23.69756,0.8090695,0.0,1.0
394,26.134874,24.576864,1.5580103,0.0,1.0
395,25.22632,23.427036,1.7992823,0.0,1.0
396,26.25391,26.369852,-0.11594037,0.5714285714285714,0.42857142857142855
397,26.541103,24.92259,1.6185114,0.0,1.0
398,25.997234,25.850224,0.14701135,0.42857142857142855,0.5714285714285714
399,25.281523,23.908556,1.3729659,0.0,1.0
400,24.135977,23.86064,0.27533668,0.42857142857142855,0.5714285714285714
401,25.972292,25.062944,0.9093451,0.0,1.0
402,24.081549,24.838114,-0.75656235,0.8571428571428571,0.14285714285714285
403,25.364428,25.073317,0.29111344,0.2857142857142857,0.7142857142857143
404,27.835375,24.539291,3.296083,0.0,1.0
405,26.684072,25.189207,1.4948654,0.0,1.0
406,25.351149,24.733828,0.6173207,0.2857142857142857,0.7142857142857143
407,25.50023,24.451141,1.0490922,0.14285714285714285,0.8571428571428571
408,24.837116,24.063248,0.7738691,0.2857142857142857,0.7142857142857143
409,25.23454,24.506948,0.7275895,0.0,1.0
410,25.190472,26.734224,-1.5437533,1.0,0.0
411,25.280218,24.624792,0.65542686,0.14285714285714285,0.8571428571428571
412,25.79114,24.586212,1.2049264,0.14285714285714285,0.8571428571428571
413,25.489622,25.100384,0.38923508,0.2857142857142857,0.7142857142857143
414,27.765255,25.032934,2.7323208,0.0,1.0
415,25.70299,25.948652,-0.24566051,0.5714285714285714,0.42857142857142855
416,25.498102,24.685925,0.81217796,0.0,1.0
417,24.87884,24.408827,0.47001484,0.0,1.0
418,24.920462,24.08309,0.8373715,0.0,1.0
419,24.737015,24.23996,0.49705178,0.14285714285714285,0.8571428571428571
420,25.16767,24.189526,0.9781437,0.14285714285714285,0.8571428571428571
421,25.80686,24.750048,1.0568106,0.0,1.0
422,25.424547,24.291357,1.1331893,0.0,1.0
423,24.860361,25.94185,-1.0814912,0.8571428571428571,0.14285714285714285
424,25.773245,25.419828,0.35341564,0.2857142857142857,0.7142857142857143
425,24.309101,25.416534,-1.1074322,0.8571428571428571,0.14285714285714285
426,23.392565,23.866713,-0.4741486,0.7142857142857143,0.2857142857142857
427,25.14707,24.153688,0.9933804,0.0,1.0
428,24.990921,24.472532,0.5183917,0.14285714285714285,0.8571428571428571
429,24.69109,23.90904,0.7820481,0.2857142857142857,0.7142857142857143
